video_id,title,publish_date,duration_sec,views,subscribers,revenue,impressions,ctr,week_start
nafNPuElCtY,I Built My Entire Design System in 4 Hours With AI. Full Tutorial (Claude + Cursor + Figma),"Nov 28, 2025",520,9874,227,23.745,89254,6.76,2026-02-06
hqIU6hluMZA,"Stop using V0 and Lovable to prototype, use Claude Code instead","Feb 1, 2026",709,2885,40,11.361,34995,5.47,2026-02-06
AiEATeNyWnk,How I Build a Component Library in 2 days (Figma to Claude Code to Storybook),"Jan 25, 2026",535,2352,58,12.739,16747,5.3,2026-02-06
BOl05zmQjOg,Stop Wasting Dev Time on Frontend: Figma to Code in 8 Minutes,"Oct 23, 2025",368,1247,16,1.761,7352,11.37,2026-02-06
nbnD2h4IP8I,Claude Code + Cursor + GitHub: The New AI environment setup,"Dec 5, 2025",632,999,20,4.717,6494,8.05,2026-02-06
fl838phdszc,"Stop using V0 and Lovable to prototype, use Claude Code instead #uxui #figma #claudecode 🤜🏻🤛🏻","Feb 3, 2026",44,744,0,0.025,726,0.41,2026-02-06
OvluDQTREcA,"Stop using V0 and Lovable to prototype, use Claude Code instead #uxui #figma #claudecode 🤜🏻🤛🏻","Feb 3, 2026",90,742,2,0.027,443,1.81,2026-02-06
OB0FEbNatHs,"Stop using V0 and Lovable to prototype, use Claude Code instead #uxui #figma #claudecode 🤜🏻🤛🏻","Feb 3, 2026",62,608,1,0.032,1247,2.49,2026-02-06
baCiDQMnB3M,"Stop using V0 and Lovable to prototype, use Claude Code instead #uxui #figma #claudecode 🤜🏻🤛🏻","Feb 3, 2026",90,449,1,0.011,949,1.05,2026-02-06
9xQIdMAXl2Y,I Tested Gemini 3 Pro vs Claude Opus 4.5 for UI Design (one is clearly superior),"Dec 12, 2025",484,411,8,0.916,3783,5.02,2026-02-06
eC8IbN123pw,"Stop using V0 and Lovable to prototype, use Claude Code instead #uxui #figma #claudecode 🤜🏻🤛🏻","Feb 3, 2026",157,239,1,0.009,381,1.84,2026-02-06
rRf3Ft7Pyvw,Figma is Dead (almost),"Jan 12, 2026",513,195,3,0.571,2534,4.34,2026-02-06
7R3lnGToAis,Stop Using One AI for User Research (Try This Instead),"Jan 18, 2026",375,169,2,0.346,2994,3.51,2026-02-06
0jZekcL243o,"Stop using V0 and Lovable to prototype, use Claude Code instead  #uxui #figma #claudecode  🤜🏻🤛🏻","Feb 3, 2026",143,155,0,0.011,1212,2.31,2026-02-06
dN3bL9l8uEk,Figma Make vs Lovable vs V0 vs Claude Code: What We Actually Use in Production,"Nov 20, 2025",725,111,3,0.217,1569,3.12,2026-02-06
w5YC4tzsuM4,FIGMA TO COMPONENT LIBRARY IN 2 DAYS 🚀 PART 5 #designsystem #uxui #figmatocode,"Jan 26, 2026",120,109,0,0.007,1417,2.05,2026-02-06
6PznGxQxXJM,"Stop using V0 and Lovable to prototype, use Claude Code instead #uxui #figma #claudecode 🤜🏻🤛🏻","Feb 3, 2026",127,106,0,0.006,686,2.04,2026-02-06
fj1pahzcn6s,FIGMA TO COMPONENT LIBRARY IN 2 DAYS 🚀 PART 4  #figmatocode #claudecode #uxui,"Jan 26, 2026",135,99,0,0.005,846,1.89,2026-02-06
mFwyb80WRsE,FIGMA TO COMPONENT LIBRARY IN 2 DAYS 🚀 - PART 1 #figma #claudecode,"Jan 26, 2026",122,80,0,0.005,585,2.74,2026-02-06
u4yfkr19NSY,The AI Tools Our Brand Designer Can't Live Without (Midjourney vs ChatGPT vs NanoBanana),"Dec 19, 2025",1342,75,2,0.142,1486,2.96,2026-02-06
ajvADfztOeY,4 UX Patterns I Fixed at 50+ B2B SaaS Companies (You Can Too),"Nov 7, 2025",490,73,1,0.21,863,3.36,2026-02-06
dSMrrdOCk-U,FIGMA TO COMPONENT LIBRARY IN 2 DAYS 🚀 PART 2 #figmatocode #claudecode #designsystem,"Jan 26, 2026",80,70,1,0.003,255,0.78,2026-02-06
COgy_e-w8ww,I Tested Every AI Tool for Product Teams. Here's What Actually Works,"Nov 14, 2025",558,57,2,0.244,735,2.18,2026-02-06
2PKc6MmUnp0,Connect Cursor to a Github repo,"Dec 9, 2025",53,50,0,0.002,346,4.34,2026-02-06
EF-SVzEvor0,FIGMA TO COMPONENT LIBRARY IN 2 DAYS 🚀 PART 3  #figmatocode #uxui,"Jan 26, 2026",84,31,0,0.002,183,0.55,2026-02-06
lusE_ygB6xc,How to get the best out of AI Deep Thinking: The LLM Council 🧠,"Jan 21, 2026",89,16,0,0.002,88,1.14,2026-02-06
_rI2BLWxA-0,Stop Hiring Designers for AI Work (And Vice Versa),"Oct 31, 2025",388,12,0,0.053,432,1.39,2026-02-06
auXb7KUJGIs,How to get the best out of AI Deep Thinking: The LLM Council 🧠,"Jan 21, 2026",166,9,0,0.0,87,0.0,2026-02-06
Y3WAA8XWb9U,Building your entire design system with AI: Establishing Foundations with Figma & Claude,"Jan 9, 2026",90,8,0,0.001,97,0.0,2026-02-06
jOeIlZbpE8U,How to get the best out of AI Deep Thinking: The LLM Council 🧠,"Jan 21, 2026",53,8,0,0.001,123,1.63,2026-02-06
